Round:243; max power:6439.17; sample size:152; Alpha:12
Round:244; max power:6564.56; sample size:152; Alpha:15
Round:245; max power:6803.28; sample size:152; Alpha:43
Round:246; max power:6964.46; sample size:152; Alpha:103
Round:247; max power:7006.24; sample size:152; Alpha:0
Round:248; max power:7079.16; sample size:152; Alpha:271
Round:249; max power:7136.54; sample size:152; Alpha:290
Round:250; max power:7250.3; sample size:152; Alpha:121
Round:251; max power:7266.91; sample size:152; Alpha:327
Round:252; max power:7228.38; sample size:152; Alpha:121
Round:253; max power:7201.05; sample size:152; Alpha:272
Round:254; max power:7020.08; sample size:152; Alpha:272
Round:255; max power:6819.67; sample size:152; Alpha:131
Round:256; max power:6687.33; sample size:152; Alpha:96
Round:257; max power:6563.98; sample size:152; Alpha:101
Round:258; max power:6563.98; sample size:152; Alpha:101
Round:259; max power:6563.98; sample size:152; Alpha:101
Round:260; max power:6563.98; sample size:152; Alpha:101
Round:261; max power:6563.98; sample size:152; Alpha:101
Round:262; max power:6563.98; sample size:152; Alpha:101
Round:263; max power:6563.98; sample size:152; Alpha:101
Round:264; max power:6563.98; sample size:152; Alpha:101
Round:265; max power:6563.98; sample size:152; Alpha:101
Round:266; max power:6563.98; sample size:152; Alpha:101
Round:267; max power:6563.98; sample size:152; Alpha:101
Round:268; max power:6563.98; sample size:152; Alpha:101
Round:269; max power:6563.98; sample size:152; Alpha:101
Round:270; max power:6563.98; sample size:152; Alpha:101
Round:271; max power:6563.98; sample size:152; Alpha:101
Round:272; max power:6563.98; sample size:152; Alpha:101
Round:273; max power:6563.98; sample size:152; Alpha:101
Round:274; max power:6563.98; sample size:152; Alpha:101
Round:275; max power:6563.98; sample size:152; Alpha:101
Round:276; max power:6563.98; sample size:152; Alpha:101
Round:277; max power:6563.98; sample size:152; Alpha:101
